spec	method	path	operation_id	reason
scm	PATCH	/fscmRestApi/resources/11.13.18.05/inventoryPicks/{TransactionTempId}/child/InvValidatedInventoryTransactionLots/{InvValidatedInventoryTransactionLotsUniqID}/child/lotSerials/{lotSerialsUniqID}/child/serialStandardDFFs/{serialStandardDFFsUniqID}	update_inventoryPicks-InvValidatedInventoryTransactionLots-lotSerials-serialStandardDFFs	child depth 3 > 2
scm	GET	/fscmRestApi/resources/11.13.18.05/inventoryReplenishRequests/{GroupId}/child/replenishRequestLines/{ReplenishmentIntId}/child/lots/{LotReplenishRequestId}/child/lotSerials	getall_inventoryReplenishRequests-replenishRequestLines-lots-lotSerials	child depth 3 > 2
scm	POST	/fscmRestApi/resources/11.13.18.05/inventoryReplenishRequests/{GroupId}/child/replenishRequestLines/{ReplenishmentIntId}/child/lots/{LotReplenishRequestId}/child/lotSerials	create_inventoryReplenishRequests-replenishRequestLines-lots-lotSerials	child depth 3 > 2
scm	DELETE	/fscmRestApi/resources/11.13.18.05/inventoryReplenishRequests/{GroupId}/child/replenishRequestLines/{ReplenishmentIntId}/child/lots/{LotReplenishRequestId}/child/lotSerials/{SerialReplenishRequestId}	delete_inventoryReplenishRequests-replenishRequestLines-lots-lotSerials	child depth 3 > 2
scm	GET	/fscmRestApi/resources/11.13.18.05/inventoryReplenishRequests/{GroupId}/child/replenishRequestLines/{ReplenishmentIntId}/child/lots/{LotReplenishRequestId}/child/lotSerials/{SerialReplenishRequestId}	get_inventoryReplenishRequests-replenishRequestLines-lots-lotSerials	child depth 3 > 2
scm	PATCH	/fscmRestApi/resources/11.13.18.05/inventoryReplenishRequests/{GroupId}/child/replenishRequestLines/{ReplenishmentIntId}/child/lots/{LotReplenishRequestId}/child/lotSerials/{SerialReplenishRequestId}	update_inventoryReplenishRequests-replenishRequestLines-lots-lotSerials	child depth 3 > 2
scm	GET	/fscmRestApi/resources/11.13.18.05/inventoryStagedTransactions/{TransactionInterfaceId}/child/lots/{lotsUniqID}/child/lotSerials/{lotSerialsUniqID}/child/serialAttributeDFFs	getall_inventoryStagedTransactions-lots-lotSerials-serialAttributeDFFs	child depth 3 > 2
scm	POST	/fscmRestApi/resources/11.13.18.05/inventoryStagedTransactions/{TransactionInterfaceId}/child/lots/{lotsUniqID}/child/lotSerials/{lotSerialsUniqID}/child/serialAttributeDFFs	create_inventoryStagedTransactions-lots-lotSerials-serialAttributeDFFs	child depth 3 > 2
scm	GET	/fscmRestApi/resources/11.13.18.05/inventoryStagedTransactions/{TransactionInterfaceId}/child/lots/{lotsUniqID}/child/lotSerials/{lotSerialsUniqID}/child/serialAttributeDFFs/{serialAttributeDFFsUniqID}	get_inventoryStagedTransactions-lots-lotSerials-serialAttributeDFFs	child depth 3 > 2
scm	PATCH	/fscmRestApi/resources/11.13.18.05/inventoryStagedTransactions/{TransactionInterfaceId}/child/lots/{lotsUniqID}/child/lotSerials/{lotSerialsUniqID}/child/serialAttributeDFFs/{serialAttributeDFFsUniqID}	update_inventoryStagedTransactions-lots-lotSerials-serialAttributeDFFs	child depth 3 > 2
scm	GET	/fscmRestApi/resources/11.13.18.05/inventoryStagedTransactions/{TransactionInterfaceId}/child/lots/{lotsUniqID}/child/lotSerials/{lotSerialsUniqID}/child/serialStandardDFFs	getall_inventoryStagedTransactions-lots-lotSerials-serialStandardDFFs	child depth 3 > 2
scm	POST	/fscmRestApi/resources/11.13.18.05/inventoryStagedTransactions/{TransactionInterfaceId}/child/lots/{lotsUniqID}/child/lotSerials/{lotSerialsUniqID}/child/serialStandardDFFs	create_inventoryStagedTransactions-lots-lotSerials-serialStandardDFFs	child depth 3 > 2
scm	GET	/fscmRestApi/resources/11.13.18.05/inventoryStagedTransactions/{TransactionInterfaceId}/child/lots/{lotsUniqID}/child/lotSerials/{lotSerialsUniqID}/child/serialStandardDFFs/{serialStandardDFFsUniqID}	get_inventoryStagedTransactions-lots-lotSerials-serialStandardDFFs	child depth 3 > 2
scm	PATCH	/fscmRestApi/resources/11.13.18.05/inventoryStagedTransactions/{TransactionInterfaceId}/child/lots/{lotsUniqID}/child/lotSerials/{lotSerialsUniqID}/child/serialStandardDFFs/{serialStandardDFFsUniqID}	update_inventoryStagedTransactions-lots-lotSerials-serialStandardDFFs	child depth 3 > 2
scm	GET	/fscmRestApi/resources/11.13.18.05/inventoryTransactions/{inventoryTransactionsUniqID}/child/transactionLines/{UniqueTransactionId}/child/lotItemLots/{lotItemLotsUniqID}/child/lotItemLotAttributesDFF	getall_inventoryTransactions-transactionLines-lotItemLots-lotItemLotAttributesDFF	child depth 3 > 2
scm	POST	/fscmRestApi/resources/11.13.18.05/inventoryTransactions/{inventoryTransactionsUniqID}/child/transactionLines/{UniqueTransactionId}/child/lotItemLots/{lotItemLotsUniqID}/child/lotItemLotAttributesDFF	create_inventoryTransactions-transactionLines-lotItemLots-lotItemLotAttributesDFF	child depth 3 > 2
scm	GET	/fscmRestApi/resources/11.13.18.05/inventoryTransactions/{inventoryTransactionsUniqID}/child/transactionLines/{UniqueTransactionId}/child/lotItemLots/{lotItemLotsUniqID}/child/lotItemLotAttributesDFF/{lotItemLotAttributesDFFUniqID}	get_inventoryTransactions-transactionLines-lotItemLots-lotItemLotAttributesDFF	child depth 3 > 2
scm	GET	/fscmRestApi/resources/11.13.18.05/inventoryTransactions/{inventoryTransactionsUniqID}/child/transactionLines/{UniqueTransactionId}/child/lotItemLots/{lotItemLotsUniqID}/child/lotItemLotsDFF	getall_inventoryTransactions-transactionLines-lotItemLots-lotItemLotsDFF	child depth 3 > 2
scm	POST	/fscmRestApi/resources/11.13.18.05/inventoryTransactions/{inventoryTransactionsUniqID}/child/transactionLines/{UniqueTransactionId}/child/lotItemLots/{lotItemLotsUniqID}/child/lotItemLotsDFF	create_inventoryTransactions-transactionLines-lotItemLots-lotItemLotsDFF	child depth 3 > 2
scm	GET	/fscmRestApi/resources/11.13.18.05/inventoryTransactions/{inventoryTransactionsUniqID}/child/transactionLines/{UniqueTransactionId}/child/lotItemLots/{lotItemLotsUniqID}/child/lotItemLotsDFF/{lotItemLotsDFFUniqID}	get_inventoryTransactions-transactionLines-lotItemLots-lotItemLotsDFF	child depth 3 > 2
scm	GET	/fscmRestApi/resources/11.13.18.05/inventoryTransactions/{inventoryTransactionsUniqID}/child/transactionLines/{UniqueTransactionId}/child/lotSerialItemLots/{lotSerialItemLotsUniqID}/child/lotSerialItemLotAttributesDFF	getall_inventoryTransactions-transactionLines-lotSerialItemLots-lotSerialItemLotAttributesDFF	child depth 3 > 2
scm	POST	/fscmRestApi/resources/11.13.18.05/inventoryTransactions/{inventoryTransactionsUniqID}/child/transactionLines/{UniqueTransactionId}/child/lotSerialItemLots/{lotSerialItemLotsUniqID}/child/lotSerialItemLotAttributesDFF	create_inventoryTransactions-transactionLines-lotSerialItemLots-lotSerialItemLotAttributesDFF	child depth 3 > 2
scm	GET	/fscmRestApi/resources/11.13.18.05/inventoryTransactions/{inventoryTransactionsUniqID}/child/transactionLines/{UniqueTransactionId}/child/lotSerialItemLots/{lotSerialItemLotsUniqID}/child/lotSerialItemLotAttributesDFF/{lotSerialItemLotAttributesDFFUniqID}	get_inventoryTransactions-transactionLines-lotSerialItemLots-lotSerialItemLotAttributesDFF	child depth 3 > 2
scm	GET	/fscmRestApi/resources/11.13.18.05/inventoryTransactions/{inventoryTransactionsUniqID}/child/transactionLines/{UniqueTransactionId}/child/lotSerialItemLots/{lotSerialItemLotsUniqID}/child/lotSerialItemLotsDFF	getall_inventoryTransactions-transactionLines-lotSerialItemLots-lotSerialItemLotsDFF	child depth 3 > 2
